Benchmark, Variant, Size, Density, Time, Hit Rate, DIAG
GauSei,SparseRAJA,1024,0.01,150722813,0.999913,DIAG
SpMV,Specialized,1024,0.07,186450054,1,COO
SpMV,SparseRAJA,1024,0.07,570058722,1,COO
SpMV,Specialized,1024,0.04,104411074,1,COO
SpMV,SparseRAJA,1024,0.04,338631127,1,COO
SpMV,Specialized,1024,0.07,186403762,1,COO
SpMV,SparseRAJA,1024,0.07,571085347,1,COO
GauSei,Specialized,1024,0.01,14741111246,0.00195122,COO
GauSei,SparseRAJA,1024,0.01,43453535314,0.767913,COO
GauSei,Specialized,1024,0.01,4003772146,0.000976562,CSR
GauSei,SparseRAJA,1024,0.01,10909224962,0.769927,CSR
GauSei,Specialized,1024,0.01,78677507,1,DIAG
GauSei,SparseRAJA,1024,0.01,148544851,0.999913,DIAG
SpMV,Specialized,1024,0.08,215672613,1,COO
SpMV,SparseRAJA,1024,0.08,651162949,1,COO
GauSei,Specialized,1024,0.001,1474190911,0.361952,COO
GauSei,SparseRAJA,1024,0.001,2270942079,0.526087,COO
GauSei,Specialized,1024,0.001,354821886,0.354492,CSR
GauSei,SparseRAJA,1024,0.001,550579464,0.481178,CSR
GauSei,Specialized,1024,0.001,16340469,1,DIAG
GauSei,SparseRAJA,1024,0.001,38040887,0.999517,DIAG
SpMV,Specialized,1024,0.08,215080296,1,COO
SpMV,SparseRAJA,1024,0.08,649699233,1,COO
GauSei,Specialized,1024,0.001,1490140637,0.361952,COO
GauSei,SparseRAJA,1024,0.001,2278771642,0.526087,COO
GauSei,Specialized,1024,0.001,354613654,0.354492,CSR
GauSei,SparseRAJA,1024,0.001,550695035,0.481178,CSR
GauSei,Specialized,1024,0.001,16480452,1,DIAG
GauSei,SparseRAJA,1024,0.001,37874695,0.999517,DIAG
SpMV,Specialized,1024,0.08,220391342,1,COO
SpMV,SparseRAJA,1024,0.08,663139080,1,COO
GauSei,Specialized,1024,0.001,1489707483,0.361952,COO
GauSei,SparseRAJA,1024,0.001,2291768022,0.526087,COO
GauSei,Specialized,1024,0.001,354878025,0.354492,CSR
GauSei,SparseRAJA,1024,0.001,550699205,0.481178,CSR
GauSei,Specialized,1024,0.001,16367174,1,DIAG
GauSei,SparseRAJA,1024,0.001,37912213,0.999517,DIAG
SpMV,Specialized,1024,0.08,220379968,1,COO
SpMV,SparseRAJA,1024,0.08,662307012,1,COO
GauSei,Specialized,1024,0.01,14713707503,0.00195122,COO
GauSei,SparseRAJA,1024,0.01,43184245121,0.767913,COO
GauSei,Specialized,1024,0.01,3995325179,0.000976562,CSR
GauSei,SparseRAJA,1024,0.01,10866343334,0.769927,CSR
