Benchmark, Variant, Size, Density, Time, Hit Rate
GauSei,Specialized,256,1,23688976544,1.0
GauSei,SparseRAJA,256,1,661343282,1
SpMV,Specialized,256,0.01,1172140,1.0
SpMV,SparseRAJA,256,0.01,9742389,1
GauSei,Specialized,256,0.01,171048727,1.0
GauSei,SparseRAJA,256,0.01,13778870,1
SpMV,Specialized,256,0.01,1179963,1.0
SpMV,SparseRAJA,256,0.01,10644983,1
GauSei,Specialized,256,0.01,171354944,1.0
GauSei,SparseRAJA,256,0.01,13660533,1
SpMV,Specialized,256,0.01,1194395,1.0
SpMV,SparseRAJA,256,0.01,10345205,1
GauSei,Specialized,256,0.01,173113810,1.0
GauSei,SparseRAJA,256,0.01,13670409,1
SpMV,Specialized,256,0.01,1202385,1.0
SpMV,SparseRAJA,256,0.01,10689045,1
GauSei,Specialized,256,0.01,172423355,1.0
GauSei,SparseRAJA,256,0.01,13598954,1
SpMV,Specialized,256,0.01,1170686,1.0
SpMV,SparseRAJA,256,0.01,10581427,1
GauSei,Specialized,256,0.01,174201541,1.0
GauSei,SparseRAJA,256,0.01,13598484,1
SpMV,Specialized,256,0.5,86751664,1.0
SpMV,SparseRAJA,256,0.5,332543501,1
GauSei,Specialized,256,0.05,817077482,1.0
GauSei,SparseRAJA,256,0.05,40099340,1
GauSei,Specialized,256,0.075,1202845240,1.0
GauSei,SparseRAJA,256,0.075,56512063,1
SpMV,Specialized,256,0.5,91268667,1.0
SpMV,SparseRAJA,256,0.5,339679104,1
GauSei,Specialized,256,0.05,823204505,1.0
GauSei,SparseRAJA,256,0.05,40096649,1
GauSei,Specialized,256,0.075,1241579269,1.0
GauSei,SparseRAJA,256,0.075,55917062,1
SpMV,Specialized,256,0.5,91141891,1.0
SpMV,SparseRAJA,256,0.5,336636277,1
GauSei,Specialized,256,0.05,845153723,1.0
GauSei,SparseRAJA,256,0.05,40141894,1
GauSei,Specialized,256,0.075,1247324405,1.0
GauSei,SparseRAJA,256,0.075,56391325,1
SpMV,Specialized,256,0.5,91825068,1.0
SpMV,SparseRAJA,256,0.5,339871324,1
GauSei,Specialized,256,0.05,838897698,1.0
GauSei,SparseRAJA,256,0.05,40141952,1
GauSei,Specialized,256,0.075,1201603139,1.0
GauSei,SparseRAJA,256,0.075,57931305,1
SpMV,Specialized,256,0.5,92249965,1.0
SpMV,SparseRAJA,256,0.5,338069387,1
GauSei,Specialized,256,0.05,817809621,1.0
GauSei,SparseRAJA,256,0.05,40108137,1
GauSei,Specialized,256,0.075,1222986936,1.0
GauSei,SparseRAJA,256,0.075,56588029,1
GauSei,Specialized,256,0.1,1605346346,1.0
GauSei,SparseRAJA,256,0.1,72823285,1
GauSei,Specialized,256,0.8,19342800146,1.0
GauSei,SparseRAJA,256,0.8,540017399,1
GauSei,Specialized,256,0.1,1713184676,1.0
GauSei,SparseRAJA,256,0.1,72704237,1
GauSei,Specialized,256,0.9,22342636224,1.0
GauSei,SparseRAJA,256,0.9,584860115,1
GauSei,Specialized,256,0.1,1853038231,1.0
GauSei,SparseRAJA,256,0.1,73108774,1
GauSei,Specialized,256,0.8,19855866193,1.0
GauSei,SparseRAJA,256,0.8,548762435,1
GauSei,Specialized,256,0.1,1718458094,1.0
GauSei,SparseRAJA,256,0.1,72395522,1
GauSei,Specialized,256,0.9,21534292428,1.0
GauSei,SparseRAJA,256,0.9,593193393,1
GauSei,Specialized,256,0.8,19257333460,1.0
GauSei,SparseRAJA,256,0.8,548002018,1
GauSei,Specialized,256,0.1,1701229188,1.0
GauSei,SparseRAJA,256,0.1,72887600,1
GauSei,Specialized,256,0.9,22384023841,1.0
GauSei,SparseRAJA,256,0.9,582478398,1
GauSei,Specialized,256,0.8,19093960161,1.0
GauSei,SparseRAJA,256,0.8,545139540,1
GauSei,Specialized,256,0.9,21201629057,1.0
GauSei,SparseRAJA,256,0.9,582893623,1
GauSei,Specialized,256,0.8,19094960389,1.0
GauSei,SparseRAJA,256,0.8,543673884,1
GauSei,Specialized,256,0.9,22726087896,1.0
GauSei,SparseRAJA,256,0.9,582055383,1
